Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
550,1489880,"lecture.js",435,0,"/",javascript,content
551,1490584,"lecture.js",435,1,"",javascript,content
552,1490703,"lecture.js",434,1,"",javascript,content
553,1516558,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n\n\n\n\n\n}\n\n//console.log()\n\n\nmodule.exports = helloWorld;\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n",javascript,tab
554,1517343,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
555,1520033,"exercises/easy/ex2-type-checker.js",160,0,"\n  ",javascript,content
556,1523386,"exercises/easy/ex2-type-checker.js",209,0,"\n  ",javascript,content
557,1523573,"exercises/easy/ex2-type-checker.js",212,0,"\n  ",javascript,content
557,1523573,"exercises/easy/ex2-type-checker.js",212,0,"\n  ",javascript,content
558,1523573,"exercises/easy/ex2-type-checker.js",210,2,"",javascript,content
559,1523840,"exercises/easy/ex2-type-checker.js",213,0,"\n  ",javascript,content
559,1523840,"exercises/easy/ex2-type-checker.js",213,0,"\n  ",javascript,content
560,1523840,"exercises/easy/ex2-type-checker.js",211,2,"",javascript,content
561,1523987,"exercises/easy/ex2-type-checker.js",214,0,"\n  ",javascript,content
561,1523987,"exercises/easy/ex2-type-checker.js",214,0,"\n  ",javascript,content
562,1523988,"exercises/easy/ex2-type-checker.js",212,2,"",javascript,content
563,1525100,"exercises/easy/ex2-type-checker.js",218,0,"\n",javascript,content
563,1525100,"exercises/easy/ex2-type-checker.js",218,0,"\n",javascript,content
564,1525101,"exercises/easy/ex2-type-checker.js",213,2,"",javascript,content
565,1525251,"exercises/easy/ex2-type-checker.js",217,0,"\n",javascript,content
566,1526143,"exercises/easy/ex2-type-checker.js",250,0,"\n",javascript,content
567,1526650,"exercises/easy/ex2-type-checker.js",251,0,"\n",javascript,content
568,1526681,"exercises/easy/ex2-type-checker.js",252,0,"\n",javascript,content
569,1526715,"exercises/easy/ex2-type-checker.js",253,0,"\n",javascript,content
570,1526748,"exercises/easy/ex2-type-checker.js",254,0,"\n",javascript,content
571,1528436,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n\n\n\n\n\n}\n\n//console.log()\n\n\nmodule.exports = helloWorld;\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n",javascript,tab
572,1594139,"lecture.js",0,0,"//lecture.js\nconst sum = 4 + 4;\nconst sum1 = 4 + 4;\n\nfunction add (num1, num2) {\nconst sum3 = sum1 + num2 \nreturn sum3 //hey ur gonna add variable 1 into variable 2 so we can store them in variable 3\n\n}\n\nconsole.log('sum', sum1);\nconsole.log('sum1', sum1);\n\n\nconst thisIsAString = 'this is some words.';\nconst thisIsTrueOrFalse = false;\nconst thisIsAnObject = {};\n\n\nconst theSum = add (4,4);\nconsole.log('this is the sum:', theSum);\n\nconsole.log(typeof thisIsAnObject);\n\n\n\n\n\n\n\n",javascript,tab
573,1600230,"lecture.js",364,0,"'this is some words.'",javascript,content
574,1600835,"lecture.js",385,0," ",javascript,content
575,1601521,"lecture.js",386,0,"/",javascript,content
576,1601649,"lecture.js",387,0,"/",javascript,content
577,1601935,"lecture.js",388,0," ",javascript,content
578,1602253,"lecture.js",389,0,"t",javascript,content
579,1602369,"lecture.js",390,0,"h",javascript,content
580,1602550,"lecture.js",391,0,"i",javascript,content
581,1602663,"lecture.js",392,0,"n",javascript,content
582,1602834,"lecture.js",393,0,"k",javascript,content
583,1603012,"lecture.js",394,0," ",javascript,content
584,1603450,"lecture.js",395,0,"i",javascript,content
585,1603730,"lecture.js",396,0,"t",javascript,content
586,1604035,"lecture.js",397,0,"s",javascript,content
587,1604170,"lecture.js",398,0," ",javascript,content
588,1604294,"lecture.js",399,0,"a",javascript,content
589,1604405,"lecture.js",400,0,"n",javascript,content
590,1604551,"lecture.js",401,0," ",javascript,content
591,1604964,"lecture.js",402,0,"o",javascript,content
592,1605248,"lecture.js",403,0,"b",javascript,content
593,1605428,"lecture.js",404,0,"j",javascript,content
594,1605535,"lecture.js",405,0,"e",javascript,content
595,1605712,"lecture.js",406,0,"c",javascript,content
596,1605946,"lecture.js",407,0,"t",javascript,content
597,1608004,"lecture.js",364,0,"/",javascript,content
598,1608135,"lecture.js",365,0,"/",javascript,content
599,1608968,"lecture.js",411,0,"\n",javascript,content
600,1609115,"lecture.js",412,0,"\n",javascript,content
601,1609287,"lecture.js",413,0,"\n",javascript,content
602,1610518,"lecture.js",411,0,"'this is some words.'",javascript,content
603,1613167,"lecture.js",432,0,".",javascript,content
604,1616464,"lecture.js",434,0,"/",javascript,content
605,1616579,"lecture.js",435,0,"/",javascript,content
606,1616895,"lecture.js",436,0,"t",javascript,content
607,1616986,"lecture.js",437,0,"h",javascript,content
608,1617116,"lecture.js",438,0,"e",javascript,content
609,1617177,"lecture.js",439,0," ",javascript,content
610,1617819,"lecture.js",440,0,"""""",javascript,content
611,1618013,"lecture.js",441,1,"""",javascript,content
612,1618690,"lecture.js",441,0," ",javascript,content
613,1618830,"lecture.js",442,0," ",javascript,content
614,1619708,"lecture.js",442,0,".",javascript,content
615,1621044,"lecture.js",445,0," ",javascript,content
616,1621381,"lecture.js",446,0,"D",javascript,content
617,1621545,"lecture.js",447,0,"O",javascript,content
618,1621714,"lecture.js",448,0,"T",javascript,content
619,1621923,"lecture.js",449,0," ",javascript,content
620,1622230,"lecture.js",450,0,"i",javascript,content
621,1622852,"lecture.js",450,1,"",javascript,content
622,1622959,"lecture.js",450,0,"a",javascript,content
623,1623432,"lecture.js",451,0,"d",javascript,content
624,1623595,"lecture.js",452,0,"d",javascript,content
625,1623797,"lecture.js",453,0,"s",javascript,content
626,1623934,"lecture.js",454,0," ",javascript,content
627,1624187,"lecture.js",455,0,"m",javascript,content
628,1624579,"lecture.js",456,0,"r",javascript,content
629,1625010,"lecture.js",456,1,"",javascript,content
630,1625107,"lecture.js",456,0,"t",javascript,content
631,1625243,"lecture.js",457,0,"h",javascript,content
632,1625420,"lecture.js",458,0,"o",javascript,content
633,1625541,"lecture.js",459,0,"d",javascript,content
634,1625716,"lecture.js",460,0,"s",javascript,content
635,1625845,"lecture.js",461,0," ",javascript,content
636,1626119,"lecture.js",462,0,"t",javascript,content
637,1626198,"lecture.js",463,0,"o",javascript,content
638,1626330,"lecture.js",464,0," ",javascript,content
639,1626481,"lecture.js",465,0,"o",javascript,content
640,1626616,"lecture.js",466,0,"u",javascript,content
641,1626731,"lecture.js",467,0,"t",javascript,content
642,1627181,"lecture.js",467,1,"",javascript,content
643,1627261,"lecture.js",467,0,"r",javascript,content
644,1627430,"lecture.js",468,0," ",javascript,content
645,1628031,"lecture.js",469,0,"D",javascript,content
646,1628280,"lecture.js",470,0,"a",javascript,content
647,1628527,"lecture.js",471,0,"t",javascript,content
648,1628811,"lecture.js",472,0,"a",javascript,content
649,1629118,"lecture.js",473,0," ",javascript,content
650,1629673,"lecture.js",474,0,"T",javascript,content
651,1629914,"lecture.js",475,0,"y",javascript,content
652,1630032,"lecture.js",476,0,"p",javascript,content
653,1630193,"lecture.js",477,0,"e",javascript,content
654,1630322,"lecture.js",478,0," ",javascript,content
655,1630546,"lecture.js",479,0,"s",javascript,content
656,1630693,"lecture.js",480,0,"u",javascript,content
657,1632000,"lecture.js",481,0,"c",javascript,content
658,1632118,"lecture.js",482,0,"h",javascript,content
659,1632271,"lecture.js",483,0," ",javascript,content
660,1632425,"lecture.js",484,0,"a",javascript,content
661,1632647,"lecture.js",485,0,"s",javascript,content
662,1632837,"lecture.js",486,0," ",javascript,content
663,1632927,"lecture.js",487,0,"t",javascript,content
664,1633066,"lecture.js",488,0,"h",javascript,content
665,1633128,"lecture.js",489,0,"e",javascript,content
666,1633261,"lecture.js",490,0," ",javascript,content
667,1633585,"lecture.js",491,0,"S",javascript,content
668,1633896,"lecture.js",492,0,"t",javascript,content
669,1634080,"lecture.js",493,0,"r",javascript,content
670,1634152,"lecture.js",494,0,"i",javascript,content
671,1634312,"lecture.js",495,0,"n",javascript,content
672,1634447,"lecture.js",496,0,"g",javascript,content
673,1634565,"lecture.js",497,0," ",javascript,content
674,1634811,"lecture.js",498,0,"a",javascript,content
675,1634946,"lecture.js",499,0,"b",javascript,content
676,1635130,"lecture.js",500,0,"o",javascript,content
677,1635697,"lecture.js",501,0,"v",javascript,content
678,1635815,"lecture.js",502,0,"e",javascript,content
679,1636408,"lecture.js",503,0," ",javascript,content
680,1636557,"lecture.js",504,0,"a",javascript,content
681,1636686,"lecture.js",505,0,"n",javascript,content
682,1636818,"lecture.js",506,0,"d",javascript,content
683,1636940,"lecture.js",507,0," ",javascript,content
684,1637149,"lecture.js",508,0,"c",javascript,content
685,1637419,"lecture.js",509,0,"a",javascript,content
686,1637706,"lecture.js",510,0,"n",javascript,content
687,1637895,"lecture.js",511,0," ",javascript,content
688,1638121,"lecture.js",512,0,"m",javascript,content
689,1638274,"lecture.js",513,0,"a",javascript,content
690,1638465,"lecture.js",514,0,"k",javascript,content
691,1638596,"lecture.js",515,0,"e",javascript,content
692,1638718,"lecture.js",516,0," ",javascript,content
693,1638921,"lecture.js",517,0,"i",javascript,content
694,1639029,"lecture.js",518,0,"t",javascript,content
695,1639150,"lecture.js",519,0," ",javascript,content
696,1639563,"lecture.js",520,0,"U",javascript,content
697,1639746,"lecture.js",521,0,"p",javascript,content
698,1639912,"lecture.js",522,0,"p",javascript,content
699,1640065,"lecture.js",523,0,"e",javascript,content
700,1640259,"lecture.js",524,0,"r",javascript,content
701,1640511,"lecture.js",525,0,"c",javascript,content
702,1640766,"lecture.js",526,0,"a",javascript,content
703,1641066,"lecture.js",527,0,"s",javascript,content
704,1641327,"lecture.js",528,0,"e",javascript,content
705,1641482,"lecture.js",529,0," ",javascript,content
706,1642046,"lecture.js",530,0,"a",javascript,content
707,1642145,"lecture.js",531,0,"n",javascript,content
708,1642268,"lecture.js",532,0,"d",javascript,content
709,1642425,"lecture.js",533,0," ",javascript,content
710,1642560,"lecture.js",534,0,"m",javascript,content
711,1642686,"lecture.js",535,0,"o",javascript,content
712,1642775,"lecture.js",536,0,"r",javascript,content
713,1642930,"lecture.js",537,0,"e",javascript,content
714,1643768,"lecture.js",538,0,"!",javascript,content
715,1646307,"lecture.js",433,0,"U",javascript,content
716,1648022,"lecture.js",433,1,"toUpperCase",javascript,content
717,1649458,"lecture.js",444,0,";",javascript,content
718,1649869,"lecture.js",445,0," ",javascript,content
719,1650409,"lecture.js",446,0,"\n",javascript,content
720,1651415,"lecture.js",446,1,"",javascript,content
721,1652969,"lecture.js",410,0,"\n",javascript,content
722,1654309,"lecture.js",412,0,"/",javascript,content
723,1654424,"lecture.js",413,0,"/",javascript,content
724,1792237,"lecture.js",556,0,"/",javascript,content
725,1792845,"lecture.js",557,0,"*",javascript,content
726,1793248,"lecture.js",558,0,"\n",javascript,content
727,1793423,"lecture.js",559,0,"\n",javascript,content
728,1794824,"lecture.js",560,0,"*",javascript,content
729,1795322,"lecture.js",561,0,"/",javascript,content
730,1796860,"lecture.js",558,0," ",javascript,content
731,1797079,"lecture.js",559,0,"C",javascript,content
732,1797155,"lecture.js",560,0,"o",javascript,content
733,1797245,"lecture.js",561,0,"n",javascript,content
734,1797440,"lecture.js",562,0,"s",javascript,content
735,1797660,"lecture.js",563,0,"t",javascript,content
736,1797755,"lecture.js",564,0," ",javascript,content
737,1798008,"lecture.js",565,0,"S",javascript,content
738,1798608,"lecture.js",565,1,"",javascript,content
739,1799573,"lecture.js",565,0,"s",javascript,content
740,1799911,"lecture.js",566,0,"e",javascript,content
741,1800140,"lecture.js",566,1,"",javascript,content
742,1800273,"lecture.js",565,1,"",javascript,content
743,1800413,"lecture.js",565,0,"S",javascript,content
744,1800625,"lecture.js",566,0,"e",javascript,content
745,1800737,"lecture.js",567,0,"n",javascript,content
746,1800875,"lecture.js",568,0,"t",javascript,content
747,1801137,"lecture.js",569,0,"a",javascript,content
748,1801280,"lecture.js",570,0,"n",javascript,content
749,1801380,"lecture.js",571,0,"c",javascript,content
750,1801580,"lecture.js",572,0,"e",javascript,content
751,1801824,"lecture.js",573,0," ",javascript,content
752,1802629,"lecture.js",574,0,"=",javascript,content
753,1802742,"lecture.js",575,0," ",javascript,content
754,1802909,"lecture.js",576,0," ",javascript,content
755,1803558,"lecture.js",576,1,"",javascript,content
756,1803908,"lecture.js",576,0,"'",javascript,content
757,1804093,"lecture.js",577,0,"'",javascript,content
758,1805159,"lecture.js",577,0,"H",javascript,content
759,1805340,"lecture.js",578,0,"e",javascript,content
760,1805453,"lecture.js",579,0,"y",javascript,content
761,1805710,"lecture.js",580,0,"a",javascript,content
762,1807245,"lecture.js",581,0," ",javascript,content
763,1807598,"lecture.js",582,0,"w",javascript,content
764,1807839,"lecture.js",583,0,"a",javascript,content
765,1809661,"lecture.js",583,1,"",javascript,content
766,1810419,"lecture.js",583,0,"H",javascript,content
767,1810542,"lecture.js",584,0,"A",javascript,content
768,1810800,"lecture.js",585,0,"T",javascript,content
769,1810958,"lecture.js",586,0,"'",javascript,content
770,1811108,"lecture.js",587,0,"S",javascript,content
771,1811215,"lecture.js",588,0," ",javascript,content
772,1811461,"lecture.js",589,0,"U",javascript,content
773,1811641,"lecture.js",590,0,"P",javascript,content
774,1812114,"lecture.js",591,0,"?",javascript,content
775,1813390,"lecture.js",591,1,"",javascript,content
776,1813538,"lecture.js",590,1,"",javascript,content
777,1813712,"lecture.js",589,1,"",javascript,content
778,1813832,"lecture.js",588,1,"",javascript,content
779,1813988,"lecture.js",587,1,"",javascript,content
780,1814138,"lecture.js",586,1,"",javascript,content
781,1814323,"lecture.js",585,1,"",javascript,content
782,1814415,"lecture.js",584,1,"",javascript,content
783,1814592,"lecture.js",583,1,"",javascript,content
784,1815157,"lecture.js",583,0,"h",javascript,content
785,1815241,"lecture.js",584,0,"a",javascript,content
786,1815494,"lecture.js",585,0,"t",javascript,content
787,1815889,"lecture.js",586,0,"'",javascript,content
788,1816035,"lecture.js",587,0,"s",javascript,content
789,1816242,"lecture.js",588,0," ",javascript,content
790,1816695,"lecture.js",589,0,"U",javascript,content
791,1816859,"lecture.js",590,0,"p",javascript,content
792,1817594,"lecture.js",591,0,"?",javascript,content
793,1820271,"lecture.js",594,0,"c",javascript,content
794,1820374,"lecture.js",595,0,"o",javascript,content
795,1820492,"lecture.js",596,0,"n",javascript,content
796,1820609,"lecture.js",597,0,"s",javascript,content
797,1820677,"lecture.js",598,0,"o",javascript,content
798,1820854,"lecture.js",599,0,"l",javascript,content
799,1820988,"lecture.js",600,0,"e",javascript,content
800,1821866,"lecture.js",601,0,".",javascript,content
801,1822148,"lecture.js",602,0,"l",javascript,content
802,1822298,"lecture.js",603,0,"o",javascript,content
803,1822450,"lecture.js",604,0,"g",javascript,content
804,1822830,"lecture.js",605,0,"()",javascript,content
805,1822910,"lecture.js",606,1,")",javascript,content
806,1823796,"lecture.js",606,0,"s",javascript,content
807,1824008,"lecture.js",607,0,"e",javascript,content
808,1824171,"lecture.js",608,0,"n",javascript,content
809,1824308,"lecture.js",609,0,"t",javascript,content
810,1824622,"lecture.js",610,0,"a",javascript,content
811,1825272,"lecture.js",611,0,"c",javascript,content
812,1825440,"lecture.js",612,0,"n",javascript,content
813,1825552,"lecture.js",613,0,"e",javascript,content
814,1826155,"lecture.js",614,0,"=",javascript,content
815,1826577,"lecture.js",614,1,"",javascript,content
816,1826757,"lecture.js",613,1,"",javascript,content
817,1826892,"lecture.js",612,1,"",javascript,content
818,1827054,"lecture.js",611,1,"",javascript,content
819,1828538,"lecture.js",610,1,"",javascript,content
820,1828834,"lecture.js",610,0,"e",javascript,content
821,1829005,"lecture.js",611,0,"n",javascript,content
822,1829140,"lecture.js",612,0,"c",javascript,content
823,1829338,"lecture.js",613,0,"e",javascript,content
824,1829766,"lecture.js",614,0," ",javascript,content
825,1830231,"lecture.js",614,1,"",javascript,content
826,1831363,"lecture.js",614,0,".",javascript,content
827,1832360,"lecture.js",615,0,"t",javascript,content
828,1832503,"lecture.js",616,0,"o",javascript,content
829,1832806,"lecture.js",617,0,"L",javascript,content
830,1832999,"lecture.js",618,0,"o",javascript,content
831,1833141,"lecture.js",619,0,"w",javascript,content
832,1833348,"lecture.js",620,0,"e",javascript,content
833,1833541,"lecture.js",621,0,"r",javascript,content
834,1833861,"lecture.js",622,0,"C",javascript,content
835,1834129,"lecture.js",623,0,"a",javascript,content
836,1834305,"lecture.js",624,0,"s",javascript,content
837,1834476,"lecture.js",625,0,"e",javascript,content
838,1835337,"lecture.js",626,0,"()",javascript,content
839,1835428,"lecture.js",627,1,")",javascript,content
840,1837514,"lecture.js",629,0,";",javascript,content
841,1838106,"lecture.js",630,0,"\n",javascript,content
842,1838714,"lecture.js",631,0,"\n",javascript,content
843,1841097,"lecture.js",631,0,"o",javascript,content
844,1841229,"lecture.js",632,0,"r",javascript,content
845,1842503,"lecture.js",634,0,"c",javascript,content
846,1842583,"lecture.js",635,0,"o",javascript,content
847,1842685,"lecture.js",636,0,"n",javascript,content
848,1842809,"lecture.js",637,0,"s",javascript,content
849,1842875,"lecture.js",638,0,"o",javascript,content
850,1843036,"lecture.js",639,0,"l",javascript,content
851,1843189,"lecture.js",640,0,"e",javascript,content
852,1843640,"lecture.js",641,0,".",javascript,content
853,1843871,"lecture.js",642,0,"l",javascript,content
854,1844034,"lecture.js",643,0,"o",javascript,content
855,1844239,"lecture.js",644,0,"g",javascript,content
856,1845469,"lecture.js",645,0,"()",javascript,content
857,1845569,"lecture.js",646,1,")",javascript,content
858,1847037,"lecture.js",646,0,"""""",javascript,content
859,1847178,"lecture.js",647,1,"""",javascript,content
860,1854310,"lecture.js",647,0,"Heya what's Up?",javascript,content
861,1867339,"lecture.js",569,1,"",javascript,content
862,1867796,"lecture.js",569,0,"e",javascript,content
863,1871938,"lecture.js",606,1,"",javascript,content
864,1872189,"lecture.js",606,0,"S",javascript,content
865,1873218,"lecture.js",606,1,"",javascript,content
866,1873775,"lecture.js",606,0,"s",javascript,content
867,1875688,"lecture.js",565,1,"",javascript,content
868,1875840,"lecture.js",565,0,"s",javascript,content
869,1885100,"lecture.js",556,0,"\n",javascript,content
870,1889575,"lecture.js",556,0,"<",javascript,content
871,1890397,"lecture.js",557,0,"-",javascript,content
872,1890501,"lecture.js",558,0,"-",javascript,content
873,1891510,"lecture.js",559,0,"!",javascript,content
874,1893744,"lecture.js",560,0,"!",javascript,content
875,1894640,"lecture.js",561,0,"-",javascript,content
876,1894784,"lecture.js",562,0,"-",javascript,content
877,1895110,"lecture.js",563,0,">",javascript,content
878,1895654,"lecture.js",564,0," ",javascript,content
879,1898102,"lecture.js",563,0,"!",javascript,content
880,1899471,"lecture.js",560,1,"",javascript,content
881,1899751,"lecture.js",559,1,"",javascript,content
882,1900670,"lecture.js",557,0,"!",javascript,content
883,1902045,"lecture.js",560,0," ",javascript,content
884,1904113,"lecture.js",556,1,"",javascript,content
885,1907058,"lecture.js",556,10,"",javascript,content
886,1907992,"lecture.js",556,0,"\n",javascript,content
887,1930235,"lecture.js",665,0,"\n",javascript,content
888,1930323,"lecture.js",666,0,"\n",javascript,content
889,1931325,"lecture.js",667,0,".",javascript,content
890,1931773,"lecture.js",668,0,"t",javascript,content
891,1931970,"lecture.js",669,0,"r",javascript,content
892,1932221,"lecture.js",670,0,"i",javascript,content
893,1932404,"lecture.js",671,0,"m",javascript,content
894,1932855,"lecture.js",672,0,"()",javascript,content
895,1932961,"lecture.js",673,1,")",javascript,content
896,1933288,"lecture.js",674,0," ",javascript,content
897,1933896,"lecture.js",675,0,"d",javascript,content
898,1934134,"lecture.js",676,0,"e",javascript,content
899,1934247,"lecture.js",677,0,"l",javascript,content
900,1934348,"lecture.js",678,0,"e",javascript,content
901,1934564,"lecture.js",679,0,"t",javascript,content
902,1934791,"lecture.js",680,0,"e",javascript,content
903,1935005,"lecture.js",681,0,"s",javascript,content
904,1935131,"lecture.js",682,0," ",javascript,content
905,1935552,"lecture.js",683,0,"e",javascript,content
906,1935966,"lecture.js",684,0,"x",javascript,content
907,1936194,"lecture.js",685,0,"c",javascript,content
908,1936421,"lecture.js",686,0,"e",javascript,content
909,1936659,"lecture.js",687,0,"s",javascript,content
910,1936782,"lecture.js",688,0,"s",javascript,content
911,1936895,"lecture.js",689,0," ",javascript,content
912,1937041,"lecture.js",690,0,"s",javascript,content
913,1937192,"lecture.js",691,0,"p",javascript,content
914,1937341,"lecture.js",692,0,"a",javascript,content
915,1937659,"lecture.js",693,0,"c",javascript,content
916,1937906,"lecture.js",694,0,"e",javascript,content
917,1938090,"lecture.js",695,0,"s",javascript,content
918,1941478,"lecture.js",696,0," ",javascript,content
919,1941956,"lecture.js",697,0,"-",javascript,content
920,1942239,"lecture.js",698,0,"-",javascript,content
921,1942560,"lecture.js",699,0,">",javascript,content
922,1942760,"lecture.js",700,0," ",javascript,content
923,1943026,"lecture.js",701,0,"m",javascript,content
924,1943255,"lecture.js",702,0,"a",javascript,content
925,1943426,"lecture.js",703,0,"n",javascript,content
926,1943724,"lecture.js",704,0,"y",javascript,content
927,1943902,"lecture.js",705,0," ",javascript,content
928,1944105,"lecture.js",706,0,"m",javascript,content
929,1944315,"lecture.js",707,0,"r",javascript,content
930,1944730,"lecture.js",707,1,"",javascript,content
931,1944856,"lecture.js",707,0,"e",javascript,content
932,1945072,"lecture.js",708,0,"t",javascript,content
933,1945147,"lecture.js",709,0,"h",javascript,content
934,1945338,"lecture.js",710,0,"o",javascript,content
935,1945453,"lecture.js",711,0,"d",javascript,content
936,1945490,"lecture.js",712,0,"f",javascript,content
937,1945636,"lecture.js",713,0,"s",javascript,content
938,1946016,"lecture.js",713,1,"",javascript,content
939,1946171,"lecture.js",712,1,"",javascript,content
940,1946499,"lecture.js",712,0,"s",javascript,content
941,1946762,"lecture.js",713,0," ",javascript,content
942,1947591,"lecture.js",714,0,"a",javascript,content
943,1947849,"lecture.js",715,0,"r",javascript,content
944,1947989,"lecture.js",716,0,"e",javascript,content
945,1948082,"lecture.js",717,0," ",javascript,content
946,1948207,"lecture.js",718,0,"s",javascript,content
947,1948432,"lecture.js",719,0,"t",javascript,content
948,1948559,"lecture.js",720,0,"r",javascript,content
949,1948657,"lecture.js",721,0,"i",javascript,content
950,1948785,"lecture.js",722,0,"n",javascript,content
951,1948878,"lecture.js",723,0,"g",javascript,content
952,1948997,"lecture.js",724,0," ",javascript,content
953,1949185,"lecture.js",725,0,"b",javascript,content
954,1949287,"lecture.js",726,0,"a",javascript,content
955,1949459,"lecture.js",727,0,"s",javascript,content
956,1949647,"lecture.js",728,0,"e",javascript,content
957,1949813,"lecture.js",729,0,"d",javascript,content
958,1950283,"lecture.js",730,0,"/",javascript,content
959,1950838,"lecture.js",730,1,"",javascript,content
960,1951565,"lecture.js",730,0," ",javascript,content
961,1951812,"lecture.js",731,0,"/",javascript,content
962,1951973,"lecture.js",732,0," ",javascript,content
963,1952150,"lecture.js",733,0,"f",javascript,content
964,1952255,"lecture.js",734,0,"o",javascript,content
965,1952377,"lecture.js",735,0,"r",javascript,content
966,1952460,"lecture.js",736,0," ",javascript,content
967,1952641,"lecture.js",737,0,"m",javascript,content
968,1952740,"lecture.js",738,0,"e",javascript,content
969,1952990,"lecture.js",739,0,"s",javascript,content
970,1953133,"lecture.js",740,0,"s",javascript,content
971,1953336,"lecture.js",741,0,"a",javascript,content
972,1953446,"lecture.js",742,0,"g",javascript,content
973,1953528,"lecture.js",743,0,"e",javascript,content
974,1953681,"lecture.js",744,0,"s",javascript,content
975,1956660,"lecture.js",737,0,"p",javascript,content
976,1956789,"lecture.js",738,0,"r",javascript,content
977,1956900,"lecture.js",739,0,"i",javascript,content
978,1957034,"lecture.js",740,0,"n",javascript,content
979,1957169,"lecture.js",741,0,"t",javascript,content
980,1957394,"lecture.js",742,0,"e",javascript,content
981,1957769,"lecture.js",742,1,"",javascript,content
982,1957975,"lecture.js",742,0,"i",javascript,content
983,1958097,"lecture.js",743,0,"n",javascript,content
984,1958192,"lecture.js",744,0,"g",javascript,content
985,1958339,"lecture.js",745,0," ",javascript,content
986,2028361,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should \n  return an object containing all these types */\n\n\n\n\n}\n\n\n\nmodule.exports = showAllTypes;\n\n\n\n\n\n",javascript,tab
987,2030493,"exercises/easy/ex6-name-screamer.js",0,0,"function screamName(name) {\n  /* take a name as input and return it in ALL CAPS with exclamation marks */\n}\n\nmodule.exports = screamName;\n",javascript,tab
988,2033373,"exercises/easy/ex6-name-screamer.js",84,0," ",javascript,content
989,2033439,"exercises/easy/ex6-name-screamer.js",85,0,"3",javascript,content
990,2036939,"exercises/easy/ex6-name-screamer.js",107,0,"\n  ",javascript,content
991,2037096,"exercises/easy/ex6-name-screamer.js",110,0,"\n  ",javascript,content
991,2037096,"exercises/easy/ex6-name-screamer.js",110,0,"\n  ",javascript,content
992,2037096,"exercises/easy/ex6-name-screamer.js",108,2,"",javascript,content
993,2037256,"exercises/easy/ex6-name-screamer.js",111,0,"\n  ",javascript,content
993,2037256,"exercises/easy/ex6-name-screamer.js",111,0,"\n  ",javascript,content
994,2037256,"exercises/easy/ex6-name-screamer.js",109,2,"",javascript,content
995,2039041,"exercises/easy/ex6-name-screamer.js",115,0,"\n",javascript,content
995,2039041,"exercises/easy/ex6-name-screamer.js",115,0,"\n",javascript,content
996,2039041,"exercises/easy/ex6-name-screamer.js",110,2,"",javascript,content
997,2039185,"exercises/easy/ex6-name-screamer.js",114,0,"\n",javascript,content
998,2039315,"exercises/easy/ex6-name-screamer.js",115,0,"\n",javascript,content
999,2040606,"exercises/easy/ex6-name-screamer.js",146,0,"\n",javascript,content
1000,2040776,"exercises/easy/ex6-name-screamer.js",147,0,"\n",javascript,content
1001,2040871,"exercises/easy/ex6-name-screamer.js",148,0,"\n",javascript,content
1002,2040998,"exercises/easy/ex6-name-screamer.js",149,0,"\n",javascript,content
1003,2045762,"lecture.js",0,0,"//lecture.js\nconst sum = 4 + 4;\nconst sum1 = 4 + 4;\n\nfunction add (num1, num2) {\nconst sum3 = sum1 + num2 \nreturn sum3 //hey ur gonna add variable 1 into variable 2 so we can store them in variable 3\n\n}\n\nconsole.log('sum', sum1);\nconsole.log('sum1', sum1);\n\n\nconst thisIsAString = 'this is some words.';\nconst thisIsTrueOrFalse = false;\nconst thisIsAnObject = {};\n//'this is some words.' // think its an object\n\n//'this is some words.'.toUpperCase; \n//the "" . "" DOT adds mthods to our Data Type such as the String above and can make it Uppercase and more!\n\n/* Const sentence = 'Heya what's Up?'\nconsole.log(sentence.toLowerCase());\nor\nconsole.log(""Heya what's Up?"")\n\n.trim() deletes excess spaces --> many methods are string based / for printing messages\n*/\n\nconst theSum = add (4,4);\nconsole.log('this is the sum:', theSum);\n\nconsole.log(typeof thisIsAnObject);\n\n\n\n\n\n\n\n",javascript,tab
1004,2049262,"lecture.js",758,0,"\n",javascript,content
1005,2049397,"lecture.js",759,0,"\n",javascript,content
1006,2049534,"lecture.js",760,0,"\n",javascript,content
1007,2049683,"lecture.js",761,0,"\n",javascript,content
1008,2049816,"lecture.js",762,0,"\n",javascript,content
1009,2053940,"lecture.js",363,0,"\n",javascript,content
1010,2054090,"lecture.js",364,0,"\n",javascript,content
1011,2057459,"lecture.js",364,0,"c",javascript,content
1012,2057599,"lecture.js",365,0,"o",javascript,content
